Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000087563	bivm	6	39.2	37.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000007735	ust	16	18.5	13.9	5.3	10.9	21.7	42.0	NA	NA	NA
ENSDART00000114067	agrn	2	17.0	17.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000085021	mmaa	116	63.7	57.5	16.8	27.9	90.9	117.2	37.25	41.1	0.141897968332
ENSDART00000087568	nelfa	315	21.3	18.4	5.8	10.4	27.5	42.3	40.37	29.92	-0.432173411593
ENSDART00000114060	cdnf	3	24.5	12.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000026578	ube2v2	343	28.4	24.2	5.7	12.6	37.2	55.4	67.89	54.74	-0.310603650623
ENSDART00000079202	abcb8	120	35.2	26.9	8.8	15.7	44.9	64.6	NA	NA	NA
ENSDART00000017859	ddi2	117	87.8	98.1	10.4	39.0	127.0	148.0	14.09	295.26	4.38924240554
ENSDART00000079207	trim47	16	33.7	23.8	7.1	10.6	43.4	59.9	NA	NA	NA
ENSDART00000017854	lgi1a	82	74.5	68.8	12.6	28.3	116.4	146.3	NA	NA	NA
ENSDART00000081926	CU856539.1	16	48.2	34.1	10.9	16.3	75.7	112.5	NA	NA	NA
ENSDART00000017857	si:dkey-121j17.5	2	38.2	38.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000081922	SPIN2B	303	25.2	20.6	5.4	11.7	33.4	53.7	NA	NA	NA
ENSDART00000017852	ubxn7	288	22.4	19.5	4.6	11.7	29.9	44.9	32.09	20.04	-0.679241281087
ENSDART00000113202	CABZ01085594.1	3	24.1	24.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000124411	sumo2a	417	18.5	16.9	5.0	10.5	24.4	32.5	NA	NA	NA
ENSDART00000062587	klf2a	21	45.1	29.5	7.4	13.5	51.9	56.1	NA	NA	NA
ENSDART00000007012	EPS8	35	15.5	15.6	3.1	11.3	20.9	24.4	6.9	1.43	-2.27058121489
ENSDART00000090712	stox1	7	25.5	22.7	NA	NA	NA	NA	10.86	14.81	0.447547537484
ENSDART00000125383	meis1	2	27.9	27.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000125386	sgcd	2	17.8	17.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000125387	afmid	1	39.6	39.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000139560	ppp3r1a	151	21.2	18.6	5.4	10.6	27.3	39.0	NA	NA	NA
ENSDART00000139567	renbp	2	55.7	55.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000014649	ugt2a5	15	18.5	15.4	3.0	12.5	23.7	37.7	NA	NA	NA
ENSDART00000135273	hnrnpa3	1	-16.8	-16.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000137125	SPOP	4	23.1	19.9	NA	NA	NA	NA	NA	NA	NA
